# time, ED spin correlation, NQS spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -4.999880000640000710e-01, -4.999889700848918483e-01
1.000000000000000021e-03, -4.999520010239912327e-01, -4.999549469939608137e-01
2.000000000000000042e-03, -4.998920051839002010e-01, -4.998978047827775661e-01
3.000000000000000062e-03, -4.998080163834401901e-01, -4.998173370539888416e-01
4.000000000000000083e-03, -4.997000399978659413e-01, -4.997134063068014442e-01
5.000000000000000104e-03, -4.995680829376291654e-01, -4.995859324404670065e-01
6.000000000000000125e-03, -4.994121536479366741e-01, -4.994348663559164403e-01
7.000000000000000146e-03, -4.992322621082098122e-01, -4.992601770258983107e-01
8.000000000000000167e-03, -4.990284198314456909e-01, -4.990618450403192519e-01
9.000000000000001055e-03, -4.988006398634804439e-01, -4.988398591104548641e-01
1.000000000000000021e-02, -4.985489367821541729e-01, -4.985942140268756484e-01
1.099999999999999936e-02, -4.982733266963784158e-01, -4.983249093890937953e-01
1.200000000000000025e-02, -4.979738272451044723e-01, -4.980319487734919393e-01
1.300000000000000114e-02, -4.976504575961948063e-01, -4.977153391646700342e-01
1.400000000000000029e-02, -4.973032384451966936e-01, -4.973750905528199762e-01
1.499999999999999944e-02, -4.969321920140175042e-01, -4.970112156399976722e-01
1.600000000000000033e-02, -4.965373420495020063e-01, -4.966237296203060980e-01
1.700000000000000122e-02, -4.961187138219130266e-01, -4.962126500116981753e-01
1.800000000000000211e-02, -4.956763341233144105e-01, -4.957779965247769982e-01
1.899999999999999953e-02, -4.952102312658558381e-01, -4.953197909586725678e-01
2.000000000000000042e-02, -4.947204350799609407e-01, -4.948380571171382414e-01
2.100000000000000130e-02, -4.942069769124186607e-01, -4.943328207399881880e-01
2.199999999999999872e-02, -4.936698896243764678e-01, -4.938041094463627712e-01
2.299999999999999961e-02, -4.931092075892372639e-01, -4.932519526872257698e-01
2.400000000000000050e-02, -4.925249666904600310e-01, -4.926763817051571515e-01
2.500000000000000139e-02, -4.919172043192630572e-01, -4.920774294999753495e-01
2.600000000000000228e-02, -4.912859593722302409e-01, -4.914551307990576157e-01
2.699999999999999969e-02, -4.906312722488229694e-01, -4.908095220314825924e-01
2.800000000000000058e-02, -4.899531848487936880e-01, -4.901406413053070454e-01
2.900000000000000147e-02, -4.892517405695044896e-01, -4.894485283874245307e-01
2.999999999999999889e-02, -4.885269843031496140e-01, -4.887332246855762286e-01
3.099999999999999978e-02, -4.877789624338831898e-01, -4.879947732321529008e-01
3.200000000000000067e-02, -4.870077228348492215e-01, -4.872332186695016443e-01
3.300000000000000155e-02, -4.862133148651189840e-01, -4.864486072365040159e-01
3.400000000000000244e-02, -4.853957893665311052e-01, -4.856409867562268556e-01
3.500000000000000333e-02, -4.845551986604387240e-01, -4.848104066244845467e-01
3.600000000000000422e-02, -4.836915965443598919e-01, -4.839569177991802085e-01
3.699999999999999817e-02, -4.828050382885354930e-01, -4.830805727903071389e-01
3.799999999999999906e-02, -4.818955806323909630e-01, -4.821814256505191354e-01
3.899999999999999994e-02, -4.809632817809060823e-01, -4.812595319661827076e-01
4.000000000000000083e-02, -4.800082014008892339e-01, -4.803149488488493435e-01
4.100000000000000172e-02, -4.790304006171585138e-01, -4.793477349270799381e-01
4.200000000000000261e-02, -4.780299420086304152e-01, -4.783579503385742560e-01
4.300000000000000350e-02, -4.770068896043144768e-01, -4.773456567225626279e-01
4.399999999999999745e-02, -4.759613088792151725e-01, -4.763109172124178614e-01
4.499999999999999833e-02, -4.748932667501421512e-01, -4.752537964284587746e-01
4.599999999999999922e-02, -4.738028315714271632e-01, -4.741743604709073301e-01
4.700000000000000011e-02, -4.726900731305492265e-01, -4.730726769129883214e-01
4.800000000000000100e-02, -4.715550626436690873e-01, -4.719488147941336420e-01
4.900000000000000189e-02, -4.703978727510703672e-01, -4.708028446132839218e-01
5.000000000000000278e-02, -4.692185775125110037e-01, -4.696348383222647693e-01
5.100000000000000366e-02, -4.680172524024839298e-01, -4.684448693192192481e-01
5.200000000000000455e-02, -4.667939743053859392e-01, -4.672330124420904784e-01
5.299999999999999850e-02, -4.655488215105978433e-01, -4.659993439621390454e-01
5.399999999999999939e-02, -4.642818737074735358e-01, -4.647439415774800575e-01
5.500000000000000028e-02, -4.629932119802397938e-01, -4.634668844066378579e-01
5.600000000000000117e-02, -4.616829188028075404e-01, -4.621682529821063978e-01
5.700000000000000205e-02, -4.603510780334927888e-01, -4.608481292439046695e-01
5.800000000000000294e-02, -4.589977749096500470e-01, -4.595065965331268099e-01
5.900000000000000383e-02, -4.576230960422175698e-01, -4.581437395854758288e-01
5.999999999999999778e-02, -4.562271294101734043e-01, -4.567596445247774084e-01
6.099999999999999867e-02, -4.548099643549056159e-01, -4.553543988564671685e-01
6.199999999999999956e-02, -4.533716915744939735e-01, -4.539280914610513418e-01
6.300000000000000044e-02, -4.519124031179054812e-01, -4.524808125875308118e-01
6.400000000000000133e-02, -4.504321923791034243e-01, -4.510126538467891244e-01
6.500000000000000222e-02, -4.489311540910697063e-01, -4.495237082049400867e-01
6.600000000000000311e-02, -4.474093843197423648e-01, -4.480140699766337331e-01
6.700000000000000400e-02, -4.458669804578675455e-01, -4.464838348183119421e-01
6.800000000000000488e-02, -4.443040412187654886e-01, -4.449330997214209771e-01
6.900000000000000577e-02, -4.427206666300144144e-01, -4.433619630055684602e-01
7.000000000000000666e-02, -4.411169580270475898e-01, -4.417705243116354930e-01
7.100000000000000755e-02, -4.394930180466681269e-01, -4.401588845948246065e-01
7.200000000000000844e-02, -4.378489506204803483e-01, -4.385271461176603602e-01
7.299999999999999545e-02, -4.361848609682383859e-01, -4.368754124429307106e-01
7.399999999999999634e-02, -4.345008555911119008e-01, -4.352037884265659295e-01
7.499999999999999722e-02, -4.327970422648703686e-01, -4.335123802104662305e-01
7.599999999999999811e-02, -4.310735300329850972e-01, -4.318012952152623929e-01
7.699999999999999900e-02, -4.293304291996505317e-01, -4.300706421330160456e-01
7.799999999999999989e-02, -4.275678513227252342e-01, -4.283205309198626076e-01
7.900000000000000078e-02, -4.257859092065914841e-01, -4.265510727885859499e-01
8.000000000000000167e-02, -4.239847168949364420e-01, -4.247623802011322169e-01
8.100000000000000255e-02, -4.221643896634533766e-01, -4.229545668610593112e-01
8.200000000000000344e-02, -4.203250440124636778e-01, -4.211277477059241492e-01
8.300000000000000433e-02, -4.184667976594614869e-01, -4.192820388996028047e-01
8.400000000000000522e-02, -4.165897695315787241e-01, -4.174175578245471474e-01
8.500000000000000611e-02, -4.146940797579750093e-01, -4.155344230739736466e-01
8.600000000000000699e-02, -4.127798496621487567e-01, -4.136327544439926118e-01
8.700000000000000788e-02, -4.108472017541728860e-01, -4.117126729256642137e-01
8.799999999999999489e-02, -4.088962597228535945e-01, -4.097743006969971624e-01
8.899999999999999578e-02, -4.069271484278151330e-01, -4.078177611148718351e-01
8.999999999999999667e-02, -4.049399938915081987e-01, -4.058431787069088914e-01
9.099999999999999756e-02, -4.029349232911448864e-01, -4.038506791632621162e-01
9.199999999999999845e-02, -4.009120649505590883e-01, -4.018403893283504780e-01
9.299999999999999933e-02, -3.988715483319945077e-01, -3.998124371925267373e-01
9.400000000000000022e-02, -3.968135040278178427e-01, -3.977669518836761675e-01
9.500000000000000111e-02, -3.947380637521621383e-01, -3.957040636587489946e-01
9.600000000000000200e-02, -3.926453603324966957e-01, -3.936239038952363822e-01
9.700000000000000289e-02, -3.905355277011263171e-01, -3.915266050825669808e-01
9.800000000000000377e-02, -3.884087008866187185e-01, -3.894123008134557917e-01
9.900000000000000466e-02, -3.862650160051643855e-01, -3.872811257751718750e-01
1.000000000000000056e-01, -3.841046102518639871e-01, -3.851332157407553747e-01
1.010000000000000064e-01, -3.819276218919483989e-01, -3.829687075601619362e-01
1.020000000000000073e-01, -3.797341902519293932e-01, -3.807877391513473375e-01
1.030000000000000082e-01, -3.775244557106834931e-01, -3.785904494912863960e-01
1.040000000000000091e-01, -3.752985596904668819e-01, -3.763769786069340317e-01
1.049999999999999961e-01, -3.730566446478652542e-01, -3.741474675661152216e-01
1.059999999999999970e-01, -3.707988540646759423e-01, -3.719020584683576658e-01
1.069999999999999979e-01, -3.685253324387255947e-01, -3.696408944356684434e-01
1.079999999999999988e-01, -3.662362252746223512e-01, -3.673641196032351730e-01
1.089999999999999997e-01, -3.639316790744432373e-01, -3.650718791100775462e-01
1.100000000000000006e-01, -3.616118413283585520e-01, -3.627643190896360226e-01
1.110000000000000014e-01, -3.592768605051921416e-01, -3.604415866602939111e-01
1.120000000000000023e-01, -3.569268860429198331e-01, -3.581038299158513794e-01
1.130000000000000032e-01, -3.545620683391048633e-01, -3.557511979159298510e-01
1.140000000000000041e-01, -3.521825587412731884e-01, -3.533838406763174511e-01
1.150000000000000050e-01, -3.497885095372269548e-01, -3.510019091592647689e-01
1.160000000000000059e-01, -3.473800739452979625e-01, -3.486055552637190580e-01
1.170000000000000068e-01, -3.449574061045420637e-01, -3.461949318154952104e-01
1.180000000000000077e-01, -3.425206610648741101e-01, -3.437701925573967698e-01
1.190000000000000085e-01, -3.400699947771448906e-01, -3.413314921392789358e-01
1.199999999999999956e-01, -3.376055640831602811e-01, -3.388789861080561128e-01
1.209999999999999964e-01, -3.351275267056436635e-01, -3.364128308976470638e-01
1.219999999999999973e-01, -3.326360412381411669e-01, -3.339331838188834833e-01
1.229999999999999982e-01, -3.301312671348724526e-01, -3.314402030493419082e-01
1.239999999999999991e-01, -3.276133647005251004e-01, -3.289340476231387700e-01
1.250000000000000000e-01, -3.250824950799954260e-01, -3.264148774206632742e-01
1.260000000000000009e-01, -3.225388202480752864e-01, -3.238828531582632619e-01
1.270000000000000018e-01, -3.199825029990857606e-01, -3.213381363778757271e-01
1.280000000000000027e-01, -3.174137069364582064e-01, -3.187808894366129242e-01
1.290000000000000036e-01, -3.148325964622637474e-01, -3.162112754962814187e-01
1.300000000000000044e-01, -3.122393367666916331e-01, -3.136294585128705514e-01
1.310000000000000053e-01, -3.096340938174774737e-01, -3.110356032259838366e-01
1.320000000000000062e-01, -3.070170343492806264e-01, -3.084298751482156820e-01
1.330000000000000071e-01, -3.043883258530137859e-01, -3.058124405544856428e-01
1.340000000000000080e-01, -3.017481365651234482e-01, -3.031834664713278782e-01
1.350000000000000089e-01, -2.990966354568228014e-01, -3.005431206661291488e-01
1.360000000000000098e-01, -2.964339922232777091e-01, -2.978915716363192412e-01
1.370000000000000107e-01, -2.937603772727465090e-01, -2.952289885985184270e-01
1.380000000000000115e-01, -2.910759617156731260e-01, -2.925555414776432328e-01
1.390000000000000124e-01, -2.883809173537371651e-01, -2.898714008959607513e-01
1.400000000000000133e-01, -2.856754166688577623e-01, -2.871767381621014303e-01
1.410000000000000142e-01, -2.829596328121553594e-01, -2.844717252600347246e-01
1.420000000000000151e-01, -2.802337395928697905e-01, -2.817565348379925672e-01
1.430000000000000160e-01, -2.774979114672365688e-01, -2.790313401973611440e-01
1.440000000000000169e-01, -2.747523235273219844e-01, -2.762963152815220425e-01
1.449999999999999900e-01, -2.719971514898167353e-01, -2.735516346646614250e-01
1.459999999999999909e-01, -2.692325716847912553e-01, -2.707974735405329625e-01
1.469999999999999918e-01, -2.664587610444092425e-01, -2.680340077111863506e-01
1.479999999999999927e-01, -2.636758970916048828e-01, -2.652614135756560798e-01
1.489999999999999936e-01, -2.608841579287212165e-01, -2.624798681186066851e-01
1.499999999999999944e-01, -2.580837222261118669e-01, -2.596895488989561795e-01
1.509999999999999953e-01, -2.552747692107058541e-01, -2.568906340384469189e-01
1.519999999999999962e-01, -2.524574786545374372e-01, -2.540833022101879335e-01
1.529999999999999971e-01, -2.496320308632404839e-01, -2.512677326271628986e-01
1.539999999999999980e-01, -2.467986066645093124e-01, -2.484441050307050203e-01
1.549999999999999989e-01, -2.439573873965253381e-01, -2.456125996789341459e-01
1.559999999999999998e-01, -2.411085548963521064e-01, -2.427733973351664520e-01
1.570000000000000007e-01, -2.382522914882969634e-01, -2.399266792562833317e-01
1.580000000000000016e-01, -2.353887799722434171e-01, -2.370726271810840724e-01
1.590000000000000024e-01, -2.325182036119509132e-01, -2.342114233185900452e-01
1.600000000000000033e-01, -2.296407461233267167e-01, -2.313432503363347104e-01
1.610000000000000042e-01, -2.267565916626679001e-01, -2.284682913486097422e-01
1.620000000000000051e-01, -2.238659248148755498e-01, -2.255867299046998564e-01
1.630000000000000060e-01, -2.209689305816411875e-01, -2.226987499770780310e-01
1.640000000000000069e-01, -2.180657943696069356e-01, -2.198045359495673368e-01
1.650000000000000078e-01, -2.151567019784995094e-01, -2.169042726054998815e-01
1.660000000000000087e-01, -2.122418395892387011e-01, -2.139981451158291248e-01
1.670000000000000095e-01, -2.093213937520226053e-01, -2.110863390272237072e-01
1.680000000000000104e-01, -2.063955513743880865e-01, -2.081690402501382708e-01
1.690000000000000113e-01, -2.034644997092486529e-01, -2.052464350468644061e-01
1.700000000000000122e-01, -2.005284263429102376e-01, -2.023187100195519283e-01
1.710000000000000131e-01, -1.975875191830662181e-01, -1.993860520982156936e-01
1.720000000000000140e-01, -1.946419664467710087e-01, -1.964486485287102735e-01
1.730000000000000149e-01, -1.916919566483942516e-01, -1.935066868607023260e-01
1.740000000000000158e-01, -1.887376785875560792e-01, -1.905603549356038040e-01
1.750000000000000167e-01, -1.857793213370441121e-01, -1.876098408745012769e-01
1.759999999999999898e-01, -1.828170742307125007e-01, -1.846553330660573589e-01
1.769999999999999907e-01, -1.798511268513650063e-01, -1.816970201544052532e-01
1.779999999999999916e-01, -1.768816690186214569e-01, -1.787350910270094351e-01
1.789999999999999925e-01, -1.739088907767696868e-01, -1.757697348025341055e-01
1.799999999999999933e-01, -1.709329823826022943e-01, -1.728011408186799214e-01
1.809999999999999942e-01, -1.679541342932409087e-01, -1.698294986200052370e-01
1.819999999999999951e-01, -1.649725371539464414e-01, -1.668549979457479848e-01
1.829999999999999960e-01, -1.619883817859179564e-01, -1.638778287176150261e-01
1.839999999999999969e-01, -1.590018591740806342e-01, -1.608981810275865731e-01
1.849999999999999978e-01, -1.560131604548619932e-01, -1.579162451256820865e-01
1.859999999999999987e-01, -1.530224769039601473e-01, -1.549322114077288925e-01
1.869999999999999996e-01, -1.500299999241013205e-01, -1.519462704031240285e-01
1.880000000000000004e-01, -1.470359210327909782e-01, -1.489586127625789902e-01
1.890000000000000013e-01, -1.440404318500560499e-01, -1.459694292458562914e-01
1.900000000000000022e-01, -1.410437240861818209e-01, -1.429789107095132128e-01
1.910000000000000031e-01, -1.380459895294424699e-01, -1.399872480946222353e-01
1.920000000000000040e-01, -1.350474200338261932e-01, -1.369946324144879490e-01
1.930000000000000049e-01, -1.320482075067572758e-01, -1.340012547423662936e-01
1.940000000000000058e-01, -1.290485438968136112e-01, -1.310073061991780807e-01
1.950000000000000067e-01, -1.260486211814426105e-01, -1.280129779412133295e-01
1.960000000000000075e-01, -1.230486313546737542e-01, -1.250184611478370456e-01
1.970000000000000084e-01, -1.200487664148322114e-01, -1.220239470091891154e-01
