# time, ED spin correlation, NQS spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -4.999748004448613670e-01, -4.999826728509915719e-01
1.000000000000000021e-03, -4.998992071176239782e-01, -4.999179246982605185e-01
2.000000000000000042e-03, -4.997732360316954892e-01, -4.998045221228810675e-01
3.000000000000000062e-03, -4.995969138723197478e-01, -4.996421208030752958e-01
4.000000000000000083e-03, -4.993702779909234279e-01, -4.994305477015145711e-01
5.000000000000000104e-03, -4.990933763972046910e-01, -4.991697127782804833e-01
6.000000000000000125e-03, -4.987662677489607677e-01, -4.988595741478714096e-01
7.000000000000000146e-03, -4.983890213396650060e-01, -4.985001229772154097e-01
8.000000000000000167e-03, -4.979617170837857265e-01, -4.980913757324616498e-01
9.000000000000001055e-03, -4.974844454998588184e-01, -4.976333697142057422e-01
1.000000000000000021e-02, -4.969573076913116894e-01, -4.971261602699912907e-01
1.099999999999999936e-02, -4.963804153250461759e-01, -4.965698189458985223e-01
1.200000000000000025e-02, -4.957538906077839092e-01, -4.959644322016254492e-01
1.300000000000000114e-02, -4.950778662601780788e-01, -4.953101004821954811e-01
1.400000000000000029e-02, -4.943524854886982567e-01, -4.946069375251230249e-01
1.499999999999999944e-02, -4.935779019552945512e-01, -4.938550698284505103e-01
1.600000000000000033e-02, -4.927542797448461465e-01, -4.930546362318392606e-01
1.700000000000000122e-02, -4.918817933304014400e-01, -4.922057875789815351e-01
1.800000000000000211e-02, -4.909606275362201622e-01, -4.913086864396707387e-01
1.899999999999999953e-02, -4.899909774986190847e-01, -4.903635068763506077e-01
2.000000000000000042e-02, -4.889730486246363639e-01, -4.893704342442811717e-01
2.100000000000000130e-02, -4.879070565485175148e-01, -4.883296650173994946e-01
2.199999999999999872e-02, -4.867932270860377830e-01, -4.872414066339847416e-01
2.299999999999999961e-02, -4.856317961866649657e-01, -4.861058773577052738e-01
2.400000000000000050e-02, -4.844230098835776710e-01, -4.849233061506524334e-01
2.500000000000000139e-02, -4.831671242415459533e-01, -4.836939325557557123e-01
2.600000000000000228e-02, -4.818644053026872598e-01, -4.824180065865157907e-01
2.699999999999999969e-02, -4.805151290301099554e-01, -4.810957886224544455e-01
2.800000000000000058e-02, -4.791195812494540296e-01, -4.797275493089882548e-01
2.900000000000000147e-02, -4.776780575883422530e-01, -4.783135694606965305e-01
2.999999999999999889e-02, -4.761908634137563823e-01, -4.768541399671283876e-01
3.099999999999999978e-02, -4.746583137673487385e-01, -4.753495617004993012e-01
3.200000000000000067e-02, -4.730807332987054248e-01, -4.738001454246826283e-01
3.300000000000000155e-02, -4.714584561965727838e-01, -4.722062117050631613e-01
3.400000000000000244e-02, -4.697918261180654143e-01, -4.705680908188575873e-01
3.500000000000000333e-02, -4.680811961158669599e-01, -4.688861226655794967e-01
3.600000000000000422e-02, -4.663269285634394912e-01, -4.671606566774024749e-01
3.699999999999999817e-02, -4.645293950782613535e-01, -4.653920517291815773e-01
3.799999999999999906e-02, -4.626889764431036944e-01, -4.635806760479591615e-01
3.899999999999999994e-02, -4.608060625253676545e-01, -4.617269071217846022e-01
4.000000000000000083e-02, -4.588810521944960974e-01, -4.598311316077351996e-01
4.100000000000000172e-02, -4.569143532374786987e-01, -4.578937452390166030e-01
4.200000000000000261e-02, -4.549063822724674355e-01, -4.559151527310426610e-01
4.300000000000000350e-02, -4.528575646605229599e-01, -4.538957676864353030e-01
4.399999999999999745e-02, -4.507683344155060112e-01, -4.518360124988644588e-01
4.499999999999999833e-02, -4.486391341121386822e-01, -4.497363182556776695e-01
4.599999999999999922e-02, -4.464704147922506361e-01, -4.475971246392704828e-01
4.700000000000000011e-02, -4.442626358692328137e-01, -4.454188798271788152e-01
4.800000000000000100e-02, -4.420162650307157270e-01, -4.432020403908317752e-01
