# time, ED spin correlation, NQS spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -5.000011999928961615e-01, -5.000011506927611871e-01
1.000000000000000021e-03, -5.000047998863368370e-01, -5.000046044913745158e-01
2.000000000000000042e-03, -5.000107994245878151e-01, -5.000103661582280257e-01
3.000000000000000062e-03, -5.000191981814444686e-01, -5.000184424631816116e-01
4.000000000000000083e-03, -5.000299955602621749e-01, -5.000288408852789912e-01
5.000000000000000104e-03, -5.000431907939999476e-01, -5.000415686195779363e-01
6.000000000000000125e-03, -5.000587829452739497e-01, -5.000566320231942807e-01
7.000000000000000146e-03, -5.000767709064241062e-01, -5.000740364064675259e-01
8.000000000000000167e-03, -5.000971533995937079e-01, -5.000937860243154232e-01
9.000000000000001055e-03, -5.001199289768185618e-01, -5.001158841588723147e-01
1.000000000000000021e-02, -5.001450960201312412e-01, -5.001403332313320016e-01
1.099999999999999936e-02, -5.001726527416756607e-01, -5.001671349133237632e-01
1.200000000000000025e-02, -5.002025971838340856e-01, -5.001962902260431720e-01
1.300000000000000114e-02, -5.002349272193656882e-01, -5.002277996240052094e-01
1.400000000000000029e-02, -5.002696405515586475e-01, -5.002616630640212003e-01
1.499999999999999944e-02, -5.003067347143920207e-01, -5.002978800613291366e-01
1.600000000000000033e-02, -5.003462070727122679e-01, -5.003364497350762941e-01
1.700000000000000122e-02, -5.003880548224199920e-01, -5.003773708451799695e-01
1.800000000000000211e-02, -5.004322749906681134e-01, -5.004206418222897357e-01
1.899999999999999953e-02, -5.004788644360748107e-01, -5.004662607922590878e-01
2.000000000000000042e-02, -5.005278198489454544e-01, -5.005142255962414799e-01
2.100000000000000130e-02, -5.005791377515080853e-01, -5.005645338072998163e-01
2.199999999999999872e-02, -5.006328144981602168e-01, -5.006171827442252864e-01
2.299999999999999961e-02, -5.006888462757287384e-01, -5.006721694831107738e-01
2.400000000000000050e-02, -5.007472291037395884e-01, -5.007294908671130473e-01
2.500000000000000139e-02, -5.008079588347010835e-01, -5.007891435147387993e-01
2.600000000000000228e-02, -5.008710311543989047e-01, -5.008511238269307553e-01
2.699999999999999969e-02, -5.009364415822019634e-01, -5.009154279931656850e-01
2.800000000000000058e-02, -5.010041854713807030e-01, -5.009820519967338459e-01
2.900000000000000147e-02, -5.010742580094379450e-01, -5.010509916193491842e-01
2.999999999999999889e-02, -5.011466542184500605e-01, -5.011222424451869939e-01
3.099999999999999978e-02, -5.012213689554206875e-01, -5.011957998644589463e-01
3.200000000000000067e-02, -5.012983969126465489e-01, -5.012716590765814439e-01
3.300000000000000155e-02, -5.013777326180934857e-01, -5.013498150930177921e-01
3.400000000000000244e-02, -5.014593704357870330e-01, -5.014302627398302681e-01
3.500000000000000333e-02, -5.015433045662105460e-01, -5.015129966599912725e-01
3.600000000000000422e-02, -5.016295290467187584e-01, -5.015980113154904219e-01
3.699999999999999817e-02, -5.017180377519607770e-01, -5.016853009892615622e-01
3.799999999999999906e-02, -5.018088243943155113e-01, -5.017748597869619021e-01
3.899999999999999994e-02, -5.019018825243379833e-01, -5.018666816386173624e-01
4.000000000000000083e-02, -5.019972055312176273e-01, -5.019607603001562390e-01
4.100000000000000172e-02, -5.020947866432485807e-01, -5.020570893548471636e-01
4.200000000000000261e-02, -5.021946189283094109e-01, -5.021556622146510218e-01
4.300000000000000350e-02, -5.022966952943562768e-01, -5.022564721215020400e-01
4.399999999999999745e-02, -5.024010084899276363e-01, -5.023595121485229242e-01
4.499999999999999833e-02, -5.025075511046575016e-01, -5.024647752011885959e-01
4.599999999999999922e-02, -5.026163155698032403e-01, -5.025722540184397458e-01
4.700000000000000011e-02, -5.027272941587834776e-01, -5.026819411737571963e-01
4.800000000000000100e-02, -5.028404789877256587e-01, -5.027938290761998497e-01
4.900000000000000189e-02, -5.029558620160271554e-01, -5.029079099714113266e-01
5.000000000000000278e-02, -5.030734350469263649e-01, -5.030241759426016257e-01
