# time, ED spin correlation, NQS regularization spin correlation, NQS diagonalization spin correlation, NQS geometric spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01, -5.000000000000002220e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -5.000059999440010783e-01, -5.000061549479775103e-01, -5.000061777086748371e-01, -5.000062740928626903e-01
1.000000000000000021e-03, -5.000239991040145160e-01, -5.000242354152197866e-01, -5.000243109823264698e-01, -5.000246393490114238e-01
2.000000000000000042e-03, -5.000539954641536333e-01, -5.000540521734597732e-01, -5.000541966230965807e-01, -5.000548447947208430e-01
3.000000000000000062e-03, -5.000959856648580226e-01, -5.000956015632106455e-01, -5.000958252626167555e-01, -5.000968629263250476e-01
4.000000000000000083e-03, -5.001499650032681377e-01, -5.001489231744595809e-01, -5.001492338316606556e-01, -5.001507215746802126e-01
5.000000000000000104e-03, -5.002159274337554251e-01, -5.002140484153785316e-01, -5.002144521610955019e-01, -5.002164443890766421e-01
6.000000000000000125e-03, -5.002938655685962299e-01, -5.002909969344913055e-01, -5.002914988451047096e-01, -5.002940452991465614e-01
7.000000000000000146e-03, -5.003837706788007988e-01, -5.003797795444492325e-01, -5.003803839398544007e-01, -5.003835306596889909e-01
8.000000000000000167e-03, -5.004856326950911649e-01, -5.004804007330865279e-01, -5.004811113628385710e-01, -5.004849013512158162e-01
9.000000000000001055e-03, -5.005994402090276907e-01, -5.005928603029771162e-01, -5.005936804702604270e-01, -5.005981541741646446e-01
1.000000000000000021e-02, -5.007251804742878232e-01, -5.007171544083571790e-01, -5.007180870565918207e-01, -5.007232827283079057e-01
1.099999999999999936e-02, -5.008628394080932855e-01, -5.008532762217724477e-01, -5.008543239974440064e-01, -5.008602779731015087e-01
1.200000000000000025e-02, -5.010124015927873709e-01, -5.010012163750421355e-01, -5.010023816746922432e-01, -5.010091285940766470e-01
1.300000000000000114e-02, -5.011738502775616722e-01, -5.011609632599228759e-01, -5.011622482661965972e-01, -5.011698212495239169e-01
1.400000000000000029e-02, -5.013471673803324702e-01, -5.013325032391590108e-01, -5.013339099490503603e-01, -5.013423407414274724e-01
1.499999999999999944e-02, -5.015323334897656693e-01, -5.015158207986726291e-01, -5.015173510460577688e-01, -5.015266701371711155e-01
1.600000000000000033e-02, -5.017293278674497259e-01, -5.017108986600461451e-01, -5.017125541339475525e-01, -5.017227908584086515e-01
1.700000000000000122e-02, -5.019381284502208995e-01, -5.019177178655623850e-01, -5.019195001251514077e-01, -5.019306827475096267e-01
1.800000000000000211e-02, -5.021587118526322779e-01, -5.021362578438536284e-01, -5.021381683309251720e-01, -5.021503241183455923e-01
1.899999999999999953e-02, -5.023910533695730152e-01, -5.023664964615747186e-01, -5.023685365110256429e-01, -5.023816917959335049e-01
2.000000000000000042e-02, -5.026351269790363396e-01, -5.026084100648194886e-01, -5.026105809135416047e-01, -5.026247611480014754e-01
2.100000000000000130e-02, -5.028909053450327793e-01, -5.028619735128980750e-01, -5.028642763073822852e-01, -5.028795061106171582e-01
2.199999999999999872e-02, -5.031583598206530450e-01, -5.031271602063345227e-01, -5.031295960092292407e-01, -5.031458992093826854e-01
2.299999999999999961e-02, -5.034374604512754647e-01, -5.034039421104476997e-01, -5.034065119062497429e-01, -5.034239115772850548e-01
2.400000000000000050e-02, -5.037281759779207446e-01, -5.036922897755062856e-01, -5.036949944755357844e-01, -5.037135129699981118e-01
2.500000000000000139e-02, -5.040304738407542784e-01, -5.039921723542164500e-01, -5.039950128009875741e-01, -5.040146717792163278e-01
2.600000000000000228e-02, -5.043443201827310096e-01, -5.043035576171008838e-01, -5.043065345881853068e-01, -5.043273550444712372e-01
2.699999999999999969e-02, -5.046696798533893968e-01, -5.046264119662138281e-01, -5.046295261776708729e-01, -5.046515284637628218e-01
2.800000000000000058e-02, -5.050065164127857109e-01, -5.049607004475168415e-01, -5.049639525569551424e-01, -5.049871564032595295e-01
2.900000000000000147e-02, -5.053547921355776573e-01, -5.053063867621967464e-01, -5.053097773715167218e-01, -5.053342019062756485e-01
2.999999999999999889e-02, -5.057144680152482197e-01, -5.056634332771161588e-01, -5.056669629349817008e-01, -5.056926267016756960e-01
3.099999999999999978e-02, -5.060855037684752755e-01, -5.060318010345832285e-01, -5.060354702386483661e-01, -5.060623912118333845e-01
3.200000000000000067e-02, -5.064678578396418773e-01, -5.064114497615551658e-01, -5.064152589604903332e-01, -5.064434545602456428e-01
3.300000000000000155e-02, -5.068614874054921948e-01, -5.068023378784025645e-01, -5.068062874737322421e-01, -5.068357745788756308e-01
3.400000000000000244e-02, -5.072663483799256801e-01, -5.072044225073093493e-01, -5.072085128550932742e-01, -5.072393078152962476e-01
3.500000000000000333e-02, -5.076823954189371157e-01, -5.076176594803902820e-01, -5.076218908927611073e-01, -5.076540095396802066e-01
3.600000000000000422e-02, -5.081095819256923329e-01, -5.080420033475806507e-01, -5.080463760941569262e-01, -5.080798337516858609e-01
3.699999999999999817e-02, -5.085478600557495898e-01, -5.084774073843517650e-01, -5.084819216935402286e-01, -5.085167331872677554e-01
3.799999999999999906e-02, -5.089971807224165090e-01, -5.089238235992930015e-01, -5.089284796594897298e-01, -5.089646593254439910e-01
3.899999999999999994e-02, -5.094574936022480127e-01, -5.093812027415948185e-01, -5.093860007022992242e-01, -5.094235623950486014e-01
4.000000000000000083e-02, -5.099287471406822592e-01, -5.098494943084634912e-01, -5.098544342813120522e-01, -5.098933913814812646e-01
4.100000000000000172e-02, -5.104108885578161336e-01, -5.103286465524891069e-01, -5.103337286122184846e-01, -5.103740940334791087e-01
4.200000000000000261e-02, -5.109038638543147437e-01, -5.108186064889982392e-01, -5.108238306743426715e-01, -5.108656168699207134e-01
4.300000000000000350e-02, -5.114076178174601361e-01, -5.113193199033915226e-01, -5.113246862179244845e-01, -5.113679051866737435e-01
4.399999999999999745e-02, -5.119220940273352394e-01, -5.118307313585035434e-01, -5.118362397714232293e-01, -5.118809030635016466e-01
4.499999999999999833e-02, -5.124472348631421426e-01, -5.123527842019779399e-01, -5.123584346488494479e-01, -5.124045533710318567e-01
4.599999999999999922e-02, -5.129829815096564882e-01, -5.128854205736861349e-01, -5.128912129571360223e-01, -5.129387977777964958e-01
4.700000000000000011e-02, -5.135292739638135373e-01, -5.134285814131809289e-01, -5.134345156035587943e-01, -5.134835767573524556e-01
4.800000000000000100e-02, -5.140860510414297924e-01, -5.139822064672204815e-01, -5.139882823032161374e-01, -5.140388295954826381e-01
4.900000000000000189e-02, -5.146532503840541839e-01, -5.145462342973360359e-01, -5.145524515865719239e-01, -5.146044943974873442e-01
5.000000000000000278e-02, -5.152308084659534826e-01, -5.151206022874805779e-01, -5.151269608070698780e-01, -5.151805080955652594e-01
5.100000000000000366e-02, -5.158186606012262754e-01, -5.157052466517442202e-01, -5.157117461488226473e-01, -5.157668064562908050e-01
5.200000000000000455e-02, -5.164167409510477258e-01, -5.163001024421483010e-01, -5.163067426343826982e-01, -5.163633240881915221e-01
5.299999999999999850e-02, -5.170249825310441194e-01, -5.169051035565239705e-01, -5.169118841325958114e-01, -5.169699944494199340e-01
5.399999999999999939e-02, -5.176433172187943077e-01, -5.175201827464750437e-01, -5.175271033665432840e-01, -5.175867498555335455e-01
5.500000000000000028e-02, -5.182716757614591607e-01, -5.181452716254288937e-01, -5.181523319215736167e-01, -5.182135214873757612e-01
5.600000000000000117e-02, -5.189099877835390284e-01, -5.187803006767803815e-01, -5.187875002534270141e-01, -5.188502393990619410e-01
5.700000000000000205e-02, -5.195581817947549919e-01, -5.194251992621219394e-01, -5.194325376964564756e-01, -5.194968325260718167e-01
5.800000000000000294e-02, -5.202161851980549034e-01, -5.200798956295815678e-01, -5.200873724719420332e-01, -5.201532286934505978e-01
5.900000000000000383e-02, -5.208839242977457706e-01, -5.207443169222495394e-01, -5.207519316965064649e-01, -5.208193546241155492e-01
5.999999999999999778e-02, -5.215613243077462657e-01, -5.214183891867075760e-01, -5.214261413906283726e-01, -5.214951359472714820e-01
6.099999999999999867e-02, -5.222483093599634696e-01, -5.221020373816455118e-01, -5.221099264872569590e-01, -5.221804972069363782e-01
6.199999999999999956e-02, -5.229448025127894084e-01, -5.227951853865971943e-01, -5.228032108405263889e-01, -5.228753618705734851e-01
6.300000000000000044e-02, -5.236507257597193821e-01, -5.234977560107637595e-01, -5.235059172345732925e-01, -5.235796523378338785e-01
6.400000000000000133e-02, -5.243660000380874209e-01, -5.242096710019423789e-01, -5.242179673924560745e-01, -5.242932899494066046e-01
6.500000000000000222e-02, -5.250905452379222016e-01, -5.249308510555545926e-01, -5.249392819851760317e-01, -5.250161949959782914e-01
6.600000000000000311e-02, -5.258242802109186487e-01, -5.256612158237838894e-01, -5.256697806408024976e-01, -5.257482867273020055e-01
6.700000000000000400e-02, -5.265671227795267750e-01, -5.264006839248082104e-01, -5.264093819537004615e-01, -5.264894833613705805e-01
6.800000000000000488e-02, -5.273189897461553199e-01, -5.271491729521328162e-01, -5.271580034938593284e-01, -5.272397020937028556e-01
6.900000000000000577e-02, -5.280797969024901839e-01, -5.279065994840387299e-01, -5.279155618163283714e-01, -5.279988591067332759e-01
7.000000000000000666e-02, -5.288494590389249961e-01, -5.286728790931130018e-01, -5.286819724707488843e-01, -5.287668695793085183e-01
7.100000000000000755e-02, -5.296278899541049245e-01, -5.294479263559019877e-01, -5.294571500109945816e-01, -5.295436476962932515e-01
7.200000000000000844e-02, -5.304150024645813977e-01, -5.302316548626475612e-01, -5.302410080049083652e-01, -5.303291066582765945e-01
7.299999999999999545e-02, -5.312107084145760716e-01, -5.310239772271388992e-01, -5.310334590441445624e-01, -5.311231586913873759e-01
7.399999999999999634e-02, -5.320149186858540435e-01, -5.318248050966538631e-01, -5.318344147541098632e-01, -5.319257150572123116e-01
7.499999999999999722e-02, -5.328275432077057561e-01, -5.326340491620030759e-01, -5.326437858040041773e-01, -5.327366860628168777e-01
7.599999999999999811e-02, -5.336484909670342613e-01, -5.334516191676840213e-01, -5.334614819169635203e-01, -5.335559810708679906e-01
7.699999999999999900e-02, -5.344776700185485119e-01, -5.342774239221116384e-01, -5.342874118802983796e-01, -5.343835085098606053e-01
7.799999999999999989e-02, -5.353149874950619003e-01, -5.351113713079705958e-01, -5.351214835558338878e-01, -5.352191758844435654e-01
7.900000000000000078e-02, -5.361603496178920514e-01, -5.359533682926518328e-01, -5.359636038903449196e-01, -5.360628897858444875e-01
8.000000000000000167e-02, -5.370136617073646423e-01, -5.368033209387871318e-01, -5.368136789260887776e-01, -5.369145559023966729e-01
8.100000000000000255e-02, -5.378748281934182529e-01, -5.376611344148763960e-01, -5.376716138114345789e-01, -5.377740790301588358e-01
8.200000000000000344e-02, -5.387437526263063603e-01, -5.385267130060207297e-01, -5.385373128115857888e-01, -5.386413630836376365e-01
8.300000000000000433e-02, -5.396203376874003643e-01, -5.393999601247377873e-01, -5.394106793193986782e-01, -5.395163111066019201e-01
8.400000000000000522e-02, -5.405044852000903122e-01, -5.402807783218751547e-01, -5.402916158662928181e-01, -5.403988252829928784e-01
8.500000000000000611e-02, -5.413960961407787709e-01, -5.411690692976163231e-01, -5.411800241332542782e-01, -5.412888069479289133e-01
8.600000000000000699e-02, -5.422950706499723994e-01, -5.420647339125771458e-01, -5.420758049619291974e-01, -5.421861565988028708e-01
8.700000000000000788e-02, -5.432013080434658914e-01, -5.429676721989864507e-01, -5.429788583658096135e-01, -5.430907739064700923e-01
8.799999999999999489e-02, -5.441147068236185103e-01, -5.438777833719707910e-01, -5.438890835415047809e-01, -5.440025577265270584e-01
8.899999999999999578e-02, -5.450351646907217740e-01, -5.447949658409069196e-01, -5.448063788801051910e-01, -5.449214061106806284e-01
8.999999999999999667e-02, -5.459625785544567345e-01, -5.457191172208768482e-01, -5.457306419786290830e-01, -5.458472163182052084e-01
9.099999999999999756e-02, -5.468968445454400751e-01, -5.466501343442076166e-01, -5.466617696515578828e-01, -5.467798848274836310e-01
9.199999999999999845e-02, -5.478378580268574716e-01, -5.475879132720797848e-01, -5.475996579424550204e-01, -5.477193073476400720e-01
9.299999999999999933e-02, -5.487855136061823291e-01, -5.485323493062409517e-01, -5.485442021356690123e-01, -5.486653788302501278e-01
9.400000000000000022e-02, -5.497397051469806728e-01, -5.494833370007909945e-01, -5.494952967681174805e-01, -5.496179934811411538e-01
9.500000000000000111e-02, -5.507003257807971952e-01, -5.504407701740409165e-01, -5.504528356411551027e-01, -5.505770447722709848e-01
9.600000000000000200e-02, -5.516672679191255702e-01, -5.514045419204672838e-01, -5.514167118325183914e-01, -5.515424254536859250e-01
9.700000000000000289e-02, -5.526404232654564819e-01, -5.523745446227413813e-01, -5.523868177083510744e-01, -5.525140275655631150e-01
9.800000000000000377e-02, -5.536196828274088100e-01, -5.533506699638193194e-01, -5.533630449353079683e-01, -5.534917424503271732e-01
9.900000000000000466e-02, -5.546049369289353104e-01, -5.543328089391342806e-01, -5.543452844927313494e-01, -5.544754607648455513e-01
1.000000000000000056e-01, -5.555960752226062338e-01, -5.553208518688411699e-01, -5.553334266849075940e-01, -5.554650724926991634e-01
1.010000000000000064e-01, -5.565929867019687727e-01, -5.563146884101548562e-01, -5.563273611533934293e-01, -5.564604669565268447e-01
1.020000000000000073e-01, -5.575955597139795605e-01, -5.573142075697373743e-01, -5.573269768894159037e-01, -5.574615328304446393e-01
1.030000000000000082e-01, -5.586036819715090029e-01, -5.583192977161804960e-01, -5.583321622463441880e-01, -5.584681581525340333e-01
1.040000000000000091e-01, -5.596172405659182170e-01, -5.593298465925441443e-01, -5.593428049522298773e-01, -5.594802303374029062e-01
1.049999999999999961e-01, -5.606361219797042494e-01, -5.603457413289669731e-01, -5.603587921224175705e-01, -5.604976361888148739e-01
1.059999999999999970e-01, -5.616602120992135738e-01, -5.613668684553370092e-01, -5.613800102722203977e-01, -5.615202619123834671e-01
1.069999999999999979e-01, -5.626893962274234218e-01, -5.623931139140384561e-01, -5.624063453296633819e-01, -5.625479931283383639e-01
