# time, ED spin correlation, NQS regularization spin correlation, NQS diagonalization spin correlation, NQS geometric spin correlation
-2.000000000000000042e-03, -5.000000000000003331e-01, -5.000000000000002220e-01, -5.000000000000002220e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -4.999040061438424498e-01, -5.000204596428255988e-01, -5.000205157464130412e-01, -5.000210478212894216e-01
2.000000000000000042e-03, -4.996160982939331641e-01, -5.000874662903305179e-01, -5.000876595899230725e-01, -5.000895407549791338e-01
4.000000000000000083e-03, -4.991364975493505218e-01, -5.002020536861057076e-01, -5.002024200619493710e-01, -5.002061722599095983e-01
6.000000000000000125e-03, -4.984655722198935712e-01, -5.003640760843987012e-01, -5.003646372539831688e-01, -5.003706701345869146e-01
8.000000000000000167e-03, -4.976038375432392247e-01, -5.005734332376109430e-01, -5.005742047884292889e-01, -5.005828675187286025e-01
1.000000000000000021e-02, -4.965519552892638244e-01, -5.008300367356841587e-01, -5.008310307641683501e-01, -5.008426321424059857e-01
1.200000000000000025e-02, -4.953107332518378314e-01, -5.011337881443398423e-01, -5.011350144478401436e-01, -5.011498333241741765e-01
1.400000000000000029e-02, -4.938811246284790513e-01, -5.014845710608061280e-01, -5.014860377845435924e-01, -5.015043293176632000e-01
1.600000000000000033e-02, -4.922642272883435144e-01, -5.018822482323183065e-01, -5.018839622598532113e-01, -5.019059620296797419e-01
1.800000000000000211e-02, -4.904612829291173925e-01, -5.023266605520516626e-01, -5.023286277626741736e-01, -5.023545546329535316e-01
2.000000000000000042e-02, -4.884736761234519942e-01, -5.028176267878406991e-01, -5.028198522292525174e-01, -5.028499104374137829e-01
2.199999999999999872e-02, -4.863029332556815798e-01, -5.033549436131098398e-01, -5.033574316288601525e-01, -5.033918123543116296e-01
2.400000000000000050e-02, -4.839507213496352378e-01, -5.039383857604153860e-01, -5.039411400839631794e-01, -5.039800226597195287e-01
2.600000000000000228e-02, -4.814188467884438771e-01, -5.045677062260924828e-01, -5.045707300528177175e-01, -5.046142829205306768e-01
2.800000000000000058e-02, -4.787092539273266611e-01, -5.052426364924026414e-01, -5.052459325361585707e-01, -5.052943140115409015e-01
2.999999999999999889e-02, -4.758240236004232515e-01, -5.059628867553132014e-01, -5.059664572925627324e-01, -5.060198161890110402e-01
3.200000000000000067e-02, -4.727653715228128384e-01, -5.067281461510749763e-01, -5.067319930576226206e-01, -5.067904691995521738e-01
3.400000000000000244e-02, -4.695356465889559683e-01, -5.075380829820084205e-01, -5.075422077630986628e-01, -5.076059324130810513e-01
3.600000000000000422e-02, -4.661373290688588522e-01, -5.083923449407008466e-01, -5.083967487553274767e-01, -5.084658449748925557e-01
3.799999999999999906e-02, -4.625730287033470445e-01, -5.092905593334412506e-01, -5.092952430162928090e-01, -5.093698259703635101e-01
4.000000000000000083e-02, -4.588454826999127101e-01, -5.102323333047829035e-01, -5.102372973837369097e-01, -5.103174746022124397e-01
4.200000000000000261e-02, -4.549575536306754153e-01, -5.112172540634299933e-01, -5.112224987751942118e-01, -5.113083703777313582e-01
