# time, ED spin correlation, NQS regularization spin correlation, NQS diagonalization spin correlation, NQS geometric spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01, -5.000000000000002220e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -4.999760003839974765e-01, -4.999827929677724825e-01, -4.999827610171297398e-01, -4.999821367756425716e-01
1.000000000000000021e-03, -4.999040061438424498e-01, -4.999198206225899388e-01, -4.999197076479228175e-01, -4.999172848201712815e-01
2.000000000000000042e-03, -4.997840311022078152e-01, -4.998104059688798229e-01, -4.998101960095281959e-01, -4.998052693080405895e-01
3.000000000000000062e-03, -4.996160982939331641e-01, -4.996542366156633830e-01, -4.996539189415919457e-01, -4.996459101806667857e-01
4.000000000000000083e-03, -4.994002399616017107e-01, -4.994511576732203473e-01, -4.994507243623609316e-01, -4.994391355137152155e-01
5.000000000000000104e-03, -4.991364975493505218e-01, -4.992010896139249532e-01, -4.992005344363090180e-01, -4.991849225447453908e-01
6.000000000000000125e-03, -4.988249216949121045e-01, -4.989039956346111859e-01, -4.989033134904586886e-01, -4.988832764669527964e-01
7.000000000000000146e-03, -4.984655722198935712e-01, -4.985598678792049210e-01, -4.985590544804692770e-01, -4.985342222467687434e-01
8.000000000000000167e-03, -4.980585181182903276e-01, -4.981687205024344367e-01, -4.981677721755604638e-01, -4.981378007304375632e-01
9.000000000000001055e-03, -4.976038375432392247e-01, -4.977305857269004874e-01, -4.977294992823350084e-01, -4.976940665065559544e-01
1.000000000000000021e-02, -4.971016177920139500e-01, -4.972455114022023559e-01, -4.972442840436155365e-01, -4.972030866104934499e-01
1.099999999999999936e-02, -4.965519552892638244e-01, -4.967135593955189776e-01, -4.967121886540857845e-01, -4.966649396802078065e-01
1.200000000000000025e-02, -4.959549555685011102e-01, -4.961348044771554666e-01, -4.961332881624416768e-01, -4.960797153746359656e-01
1.300000000000000114e-02, -4.953107332518378314e-01, -4.955093335176627423e-01, -4.955076696799485814e-01, -4.954475139544988749e-01
1.400000000000000029e-02, -4.946194120279801543e-01, -4.948372448899784337e-01, -4.948354317906810684e-01, -4.947684459684418279e-01
1.499999999999999944e-02, -4.938811246284790513e-01, -4.941186480112412793e-01, -4.941166840993033715e-01, -4.940426320100935742e-01
1.600000000000000033e-02, -4.930960128022470745e-01, -4.933536629827568465e-01, -4.933515468754255395e-01, -4.932702025243195232e-01
1.700000000000000122e-02, -4.922642272883435144e-01, -4.925424203004256096e-01, -4.925401507674247448e-01, -4.924512976484266003e-01
1.800000000000000211e-02, -4.913859277870314957e-01, -4.916850606169206883e-01, -4.916826365672464783e-01, -4.915860670786874609e-01
1.899999999999999953e-02, -4.904612829291173925e-01, -4.907817345424948519e-01, -4.907791550132617475e-01, -4.906746699554740965e-01
2.000000000000000042e-02, -4.894904702435730059e-01, -4.898326024749853347e-01, -4.898298666219242925e-01, -4.897172747622393629e-01
2.100000000000000130e-02, -4.884736761234519942e-01, -4.888378344522041896e-01, -4.888349415414889321e-01, -4.887140592348742096e-01
2.199999999999999872e-02, -4.874110957901015562e-01, -4.877976100216365740e-01, -4.877945594227804937e-01, -4.876652102788897603e-01
2.299999999999999961e-02, -4.863029332556815798e-01, -4.867121181235653515e-01, -4.867089093032405112e-01, -4.865709238924841862e-01
2.400000000000000050e-02, -4.851494012839943082e-01, -4.855815569848175306e-01, -4.855781895013717153e-01, -4.854314050940437553e-01
2.500000000000000139e-02, -4.839507213496352378e-01, -4.844061340206878841e-01, -4.844026075193444969e-01, -4.842468678529374126e-01
2.600000000000000228e-02, -4.827071235954688566e-01, -4.831860657434899897e-01, -4.831823799520253426e-01, -4.830175350227245978e-01
2.699999999999999969e-02, -4.814188467884438771e-01, -4.819215776761536785e-01, -4.819177324010461838e-01, -4.817436382760824087e-01
2.800000000000000058e-02, -4.800861382737495187e-01, -4.806129042698216725e-01, -4.806088993928139264e-01, -4.804254180408966124e-01
2.900000000000000147e-02, -4.787092539273266611e-01, -4.792602888246628723e-01, -4.792561242995769244e-01, -4.790631234370770208e-01
2.999999999999999889e-02, -4.772884581067403098e-01, -4.778639834129256303e-01, -4.778596592628321371e-01, -4.776570122137348551e-01
3.099999999999999978e-02, -4.758240236004232515e-01, -4.764242488038589740e-01, -4.764197651184860494e-01, -4.762073506864344385e-01
3.200000000000000067e-02, -4.743162315753018388e-01, -4.749413543899690948e-01, -4.749367113232912385e-01, -4.747144136742807996e-01
3.300000000000000155e-02, -4.727653715228128384e-01, -4.734155781140889085e-01, -4.734107758821593515e-01, -4.731784844366483944e-01
3.400000000000000244e-02, -4.711717412033221697e-01, -4.718472063971114738e-01, -4.718422452760256958e-01, -4.715998546093871369e-01
3.500000000000000333e-02, -4.695356465889559683e-01, -4.702365340659736548e-01, -4.702314143899845034e-01, -4.699788241403804467e-01
3.600000000000000422e-02, -4.678574018048539673e-01, -4.685838642816708144e-01, -4.685785864414758750e-01, -4.683157012243358563e-01
