# time, ED spin correlation, NQS regularization spin correlation, NQS diagonalization spin correlation, NQS geometric spin correlation
-2.000000000000000042e-03, -5.000000000000003331e-01, -5.000000000000002220e-01, -5.000000000000002220e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -4.999040061438424498e-01, -4.999156027986179640e-01, -4.999154840909323383e-01, -4.999099517515179225e-01
2.000000000000000042e-03, -4.996160982939331641e-01, -4.996515757580245465e-01, -4.996512543093712955e-01, -4.996341327945549859e-01
4.000000000000000083e-03, -4.991364975493505218e-01, -4.992038610177802482e-01, -4.992033034565409588e-01, -4.991706145171699305e-01
6.000000000000000125e-03, -4.984655722198935712e-01, -4.985712517878921890e-01, -4.985704370604581159e-01, -4.985189797683070578e-01
8.000000000000000167e-03, -4.976038375432392247e-01, -4.977533287264430117e-01, -4.977522417339641514e-01, -4.976792777226149433e-01
1.000000000000000021e-02, -4.965519552892638244e-01, -4.967501022188796078e-01, -4.967487314770657747e-01, -4.966518452721065402e-01
1.200000000000000025e-02, -4.953107332518378314e-01, -4.955618833318993777e-01, -4.955602198393461721e-01, -4.954372424318910229e-01
1.400000000000000029e-02, -4.938811246284790513e-01, -4.941892235883128537e-01, -4.941872601824682243e-01, -4.940362220023653550e-01
1.600000000000000033e-02, -4.922642272883435144e-01, -4.926328822500811722e-01, -4.926306132199917420e-01, -4.924497129021164765e-01
1.800000000000000211e-02, -4.904612829291173925e-01, -4.908938066160488112e-01, -4.908912274387629560e-01, -4.906788099185862562e-01
2.000000000000000042e-02, -4.884736761234519942e-01, -4.889731191409239508e-01, -4.889702262937266619e-01, -4.887247668080074714e-01
2.199999999999999872e-02, -4.863029332556815798e-01, -4.868721084245868913e-01, -4.868688992555820216e-01, -4.865889912714590482e-01
2.400000000000000050e-02, -4.839507213496352378e-01, -4.845922225504152303e-01, -4.845886951680795640e-01, -4.842730410417208642e-01
2.600000000000000228e-02, -4.814188467884438771e-01, -4.821350638512453268e-01, -4.821312170528344043e-01, -4.817786206371796331e-01
2.800000000000000058e-02, -4.787092539273266611e-01, -4.795023846398809297e-01, -4.794982178465738709e-01, -4.791075785322360669e-01
2.999999999999999889e-02, -4.758240236004232515e-01, -4.766960835434249644e-01, -4.766915967486864414e-01, -4.762619045813973329e-01
3.200000000000000067e-02, -4.727653715228128384e-01, -4.737182022465625808e-01, -4.737133959736951616e-01, -4.732437275937280141e-01
3.400000000000000244e-02, -4.695356465889559683e-01, -4.705709225053018030e-01, -4.705657977714040041e-01, -4.700553129892077187e-01
3.600000000000000422e-02, -4.661373290688588522e-01, -4.672565633315973743e-01, -4.672511216178725224e-01, -4.666990604909614371e-01
3.799999999999999906e-02, -4.625730287033470445e-01, -4.637775782887153531e-01, -4.637718215135916977e-01, -4.631775018191726101e-01
4.000000000000000083e-02, -4.588454826999127101e-01, -4.601365528453161824e-01, -4.601304833411908879e-01, -4.594932983697664342e-01
4.200000000000000261e-02, -4.549575536306754153e-01, -4.563362017568855511e-01, -4.563298222503714419e-01, -4.556492388496259371e-01
4.399999999999999745e-02, -4.509122272340654325e-01, -4.523793664484663801e-01, -4.523726800405372672e-01, -4.516482368719516027e-01
4.599999999999999922e-02, -4.467126101219248135e-01, -4.482690123791026604e-01, -4.482620225304550510e-01, -4.474933284920068477e-01
4.800000000000000100e-02, -4.423619273937813290e-01, -4.440082263809110308e-01, -4.440009368951395308e-01, -4.431876696823999762e-01
5.000000000000000278e-02, -4.378635201601308036e-01, -4.396002139530879038e-01, -4.395926289608766413e-01, -4.387345337428316117e-01
5.200000000000000455e-02, -4.332208429766286062e-01, -4.350482965105979538e-01, -4.350404204634289451e-01, -4.341373086408646387e-01
5.399999999999999939e-02, -4.284374611911607178e-01, -4.303559085797203920e-01, -4.303477462311534052e-01, -4.293994942851755425e-01
5.600000000000000117e-02, -4.235170482058318586e-01, -4.255265949374852363e-01, -4.255181513334737042e-01, -4.245246997227176133e-01
5.800000000000000294e-02, -4.184633826559726599e-01, -4.205640076905456382e-01, -4.205552881588440761e-01, -4.195166402708621622e-01
5.999999999999999778e-02, -4.132803455083335908e-01, -4.154719032939147016e-01, -4.154629134333998608e-01, -4.143791345755586386e-01
6.199999999999999956e-02, -4.079719170806941908e-01, -4.102541395076717001e-01, -4.102448851789800011e-01, -4.091161015985553817e-01
6.400000000000000133e-02, -4.025421739851737235e-01, -4.049146722919809704e-01, -4.049051596064693337e-01, -4.037315575374866850e-01
6.600000000000000311e-02, -3.969952859975937054e-01, -3.994575526383981612e-01, -3.994477879499308548e-01, -3.982296126763200106e-01
6.800000000000000488e-02, -3.913355128552948314e-01, -3.938869233415934756e-01, -3.938769132366606307e-01, -3.926144681701110861e-01
7.000000000000000666e-02, -3.855672009858685523e-01, -3.882070157096758622e-01, -3.881967669985031399e-01, -3.868904127650345526e-01
7.200000000000000844e-02, -3.796947801693134616e-01, -3.824221462148416628e-01, -3.824116659215788250e-01, -3.810618194553938021e-01
7.399999999999999634e-02, -3.737227601361829410e-01, -3.765367130875947321e-01, -3.765260084447727418e-01, -3.751331420794228877e-01
7.599999999999999811e-02, -3.676557271043334185e-01, -3.705551928529041694e-01, -3.705442712893505242e-01, -3.691089118566378002e-01
7.799999999999999989e-02, -3.614983402569338367e-01, -3.644821368138723705e-01, -3.644710059470249730e-01, -3.629937338685501613e-01
8.000000000000000167e-02, -3.552553281644430516e-01, -3.583221674792705924e-01, -3.583108351086917165e-01, -3.567922834849933666e-01
8.200000000000000344e-02, -3.489314851532995254e-01, -3.520799749510286070e-01, -3.520684490446084336e-01, -3.505093027390649429e-01
8.400000000000000522e-02, -3.425316676241139668e-01, -3.457603132454630246e-01, -3.457486019361725171e-01, -3.441495966523141492e-01
8.600000000000000699e-02, -3.360607903221933812e-01, -3.393679965865660231e-01, -3.393561081621460640e-01, -3.377180295134954435e-01
8.799999999999999489e-02, -3.295238225632570184e-01, -3.329078956472801831e-01, -3.328958385413371412e-01, -3.312195211134235096e-01
8.999999999999999667e-02, -3.229257844172470082e-01, -3.263849337500041026e-01, -3.263727165336610669e-01, -3.246590429375686981e-01
9.199999999999999845e-02, -3.162717428531608976e-01, -3.198040830309319960e-01, -3.197917144049350902e-01, -3.180416143207543955e-01
9.400000000000000022e-02, -3.095668078478688301e-01, -3.131703605669076129e-01, -3.131578493551102627e-01, -3.113722985656819375e-01
9.600000000000000200e-02, -3.028161284619021454e-01, -3.064888244699048858e-01, -3.064761796023214302e-01, -3.046561990281426713e-01
9.800000000000000377e-02, -2.960248888852287652e-01, -2.997645699498490690e-01, -2.997518004626668620e-01, -2.978984551719934259e-01
1.000000000000000056e-01, -2.891983044560491045e-01, -2.930027253515880559e-01, -2.929898403747852043e-01, -2.911042385964893731e-01
1.020000000000000073e-01, -2.823416176556727275e-01, -2.862084481635599476e-01, -2.861954569127969639e-01, -2.842787490397945538e-01
1.040000000000000091e-01, -2.754600940825513433e-01, -2.793869210066285413e-01, -2.793738327739851424e-01, -2.774272103592094751e-01
1.059999999999999970e-01, -2.685590184085573373e-01, -2.725433476014752499e-01, -2.725301717467610851e-01, -2.705548664941201942e-01
1.079999999999999988e-01, -2.616436903206149633e-01, -2.656829487197576722e-01, -2.656696946611932786e-01, -2.636669774123470145e-01
1.100000000000000006e-01, -2.547194204508025361e-01, -2.588109581206194942e-01, -2.587976353256288831e-01, -2.567688150433001804e-01
1.120000000000000023e-01, -2.477915262980466549e-01, -2.519326184747909259e-01, -2.519192364509204585e-01, -2.498656592013718813e-01
1.140000000000000041e-01, -2.408653281445458372e-01, -2.450531772807079955e-01, -2.450397455656810330e-01, -2.429627935020858276e-01
1.160000000000000059e-01, -2.339461449700542539e-01, -2.381778827730012815e-01, -2.381644109264640652e-01, -2.360655012726196877e-01
1.180000000000000077e-01, -2.270392903671666629e-01, -2.313119798278325812e-01, -2.312984774212800965e-01, -2.291790614634120204e-01
1.199999999999999956e-01, -2.201500684607410607e-01, -2.244607058664389310e-01, -2.244471824722763520e-01, -2.223087445581195254e-01
1.219999999999999973e-01, -2.132837698345913802e-01, -2.176292867591838875e-01, -2.176157519422094178e-01, -2.154598084891674037e-01
1.239999999999999991e-01, -2.064456674685787863e-01, -2.108229327345435555e-01, -2.108093960407139145e-01, -2.086374945596033981e-01
1.260000000000000009e-01, -1.996410126892227965e-01, -2.040468342889018849e-01, -2.040333052367533928e-01, -2.018470233744170950e-01
1.280000000000000027e-01, -1.928750311369398229e-01, -1.973061581108459528e-01, -1.972926461803723441e-01, -1.950935907815457004e-01
1.300000000000000044e-01, -1.861529187530090723e-01, -1.906060430093033387e-01, -1.905925576307143376e-01, -1.883823638325403671e-01
1.320000000000000062e-01, -1.794798377893444541e-01, -1.839515958515235972e-01, -1.839381463976103859e-01, -1.817184767538141399e-01
1.340000000000000080e-01, -1.728609128441395693e-01, -1.773478875277976763e-01, -1.773344832951131989e-01, -1.751070269403982582e-01
1.360000000000000098e-01, -1.663012269264267928e-01, -1.707999489033082408e-01, -1.707865991085564805e-01, -1.685530709700191754e-01
1.380000000000000115e-01, -1.598058175525777780e-01, -1.643127668108652628e-01, -1.642994805767859501e-01, -1.620616206400268822e-01
1.400000000000000133e-01, -1.533796728777374052e-01, -1.578912800470275712e-01, -1.578780663904964521e-01, -1.556376390282291078e-01
1.420000000000000151e-01, -1.470277278651663799e-01, -1.515403753860085634e-01, -1.515272432065093711e-01, -1.492860365900613162e-01
1.440000000000000169e-01, -1.407548604964311556e-01, -1.452648836122450715e-01, -1.452518416781350963e-01, -1.430116672502150799e-01
1.459999999999999909e-01, -1.345658880253551015e-01, -1.390695755669484057e-01, -1.390566325037121687e-01, -1.368193245820499282e-01
1.479999999999999927e-01, -1.284655632786035340e-01, -1.329591582112468195e-01, -1.329463224875529481e-01, -1.307137379655113063e-01
1.499999999999999944e-01, -1.224585710057461974e-01, -1.269382707043696656e-01, -1.269255506196942940e-01, -1.246995687895288973e-01
1.519999999999999962e-01, -1.165495242816003835e-01, -1.210114804978487668e-01, -1.209988841633442835e-01, -1.187814067081298386e-01
1.539999999999999980e-01, -1.107429609636166601e-01, -1.151832794370157842e-01, -1.151708147708337127e-01, -1.129637659026740959e-01
1.559999999999999998e-01, -1.050433402070261313e-01, -1.094580798785784459e-01, -1.094457545836114154e-01, -1.072510813913420957e-01
1.580000000000000016e-01, -9.945503904042926613e-02, -1.038402108165335513e-01, -1.038280323667336302e-01, -1.016477053696528687e-01
1.600000000000000033e-01, -9.398234900445281981e-02, -9.833391401600589943e-02, -9.832188964236712736e-02, -9.615790358510672986e-02
1.620000000000000051e-01, -8.862947285605761449e-02, -9.294334015771274493e-02, -9.293147683291888561e-02, -9.078585175464887191e-02
1.640000000000000069e-01, -8.340052134102787784e-02, -8.767254499008919622e-02, -8.766084941273497022e-02, -8.553563200855818227e-02
1.660000000000000087e-01, -7.829951003712014301e-02, -8.252548549333885153e-02, -8.251396407402095123e-02, -8.041122938761433026e-02
1.680000000000000104e-01, -7.333035627029751979e-02, -7.750601606051665815e-02, -7.749467490738647102e-02, -7.541652837917153795e-02
1.700000000000000122e-01, -6.849687610641558289e-02, -7.261788470279369190e-02, -7.260672961004957515e-02, -7.055530950335886509e-02
1.720000000000000140e-01, -6.380278142067047353e-02, -6.786472928352649259e-02, -6.785376572047711885e-02, -6.583124595960967995e-02
1.740000000000000158e-01, -5.925167704706311989e-02, -6.325007380534666823e-02, -6.323930690764809071e-02, -6.124790033568724285e-02
1.759999999999999898e-01, -5.484705801006205944e-02, -5.877732475360753633e-02, -5.876675931909708384e-02, -5.680872139202836762e-02
1.779999999999999916e-01, -5.059230684059733835e-02, -5.444976752205240439e-02, -5.443940801070953212e-02, -5.251704093074121421e-02
1.799999999999999933e-01, -4.649069097844296672e-02, -5.027056293303700657e-02, -5.026041347297034723e-02, -4.837607075192053990e-02
1.819999999999999951e-01, -4.254536026298362528e-02, -4.624274386449743479e-02, -4.623280826447571240e-02, -4.438889971497173015e-02
1.839999999999999969e-01, -3.875934451429290800e-02, -4.236921198798737631e-02, -4.235949375829800578e-02, -4.055849088414797965e-02
1.859999999999999987e-01, -3.513555120638043455e-02, -3.865273460060945215e-02, -3.864323698353847036e-02, -3.688767876180935879e-02
1.880000000000000004e-01, -3.167676323439438252e-02, -3.509594151568865700e-02, -3.508666752778028669e-02, -3.337916657581677105e-02
1.900000000000000022e-01, -2.838563677749524061e-02, -3.170132194149226368e-02, -3.169227442619966528e-02, -3.003552357601697170e-02
1.920000000000000040e-01, -2.526469925904055447e-02, -2.847122123845859110e-02, -2.846240293483999484e-02, -2.685918227347162263e-02
1.940000000000000058e-01, -2.231634740564825484e-02, -2.540783739510138473e-02, -2.539925101819509590e-02, -2.385243553444745673e-02
1.960000000000000075e-01, -1.954284540662799136e-02, -2.251321700594205444e-02, -2.250486534618772322e-02, -2.101743337001640149e-02
1.980000000000000093e-01, -1.694632317519538869e-02, -1.978925046043841784e-02, -1.978113650464763396e-02, -1.835617929072052082e-02
2.000000000000000111e-01, -1.452877471280315802e-02, -1.723766596644911095e-02, -1.722979304222199692e-02, -1.587052595774492147e-02
