# time step, cusp depth
1.000000000000000021e-03, 2.580999980702730042e-09
5.000000000000004441e-04, 1.835621186639608997e-10
2.500000000000013062e-04, 1.835620845224941641e-10
1.250000000000017644e-04, 1.835621187316305035e-10
6.250000000000088222e-05, 1.835618966873825070e-10
3.125000000000044111e-05, 1.835623407757926026e-10
1.562500000000133186e-05, 1.835621187315364118e-10
7.812500000001775544e-06, 1.835618966872016129e-10
4.687500000000177466e-07, 1.835623407758052430e-10
2.343750000011190953e-07, 1.835621187313738191e-10
1.406250000002273690e-08, 1.835620254212566258e-10
7.031250000011368452e-09, 1.835620254212566258e-10
3.515625000005684226e-09, 1.835620254212566258e-10
1.757812500002842113e-09, 1.835615758551917610e-10
8.085937497348538231e-10, 1.835621187313738191e-10
