# time step, cusp depth
1.000000000000000021e-03, 4.583456992936976206e-03
5.344984105855444092e-04, 3.069726827957850010e-04
2.672492052927722046e-04, 3.185192610374756698e-04
1.336246026463861023e-04, 3.215483398841540840e-04
6.681230132319305114e-05, 3.216024732232939266e-04
3.340615066159680340e-05, 3.219260928939933811e-04
1.670307533079840170e-05, 3.219651097270100960e-04
8.351537665399200850e-06, 3.219733402273358626e-04
4.175768832699322598e-06, 3.219763685254456421e-04
2.087884416349661299e-06, 3.219770286892544063e-04
1.043942208174830650e-06, 3.219769799169717528e-04
5.219711040876928339e-07, 3.219771319354533231e-04
1.565913312262523589e-07, 3.219771167941946877e-04
7.829566561312617947e-08, 3.219771318588009884e-04
3.914783280656308973e-08, 3.219771371553222395e-04
1.957391640328154487e-08, 3.219771390675934706e-04
9.786958201640772433e-09, 3.219771403470158395e-04
4.893479100820386217e-09, 3.219771407722628624e-04
8.808262380588515839e-10, 3.219771408522192489e-04
