# time step, cusp depth
2.000000000000000042e-03, 5.272401766373341678e-05
5.344984105855444092e-04, 3.594490605940454083e-06
2.672492052927722046e-04, 8.823735238427378556e-07
1.336246026463861023e-04, 2.142479425457070397e-07
6.681230132319305114e-05, 5.652448186592510550e-08
3.340615066159680340e-05, 2.104792699331152758e-08
1.670307533079840170e-05, 6.828324362876119227e-09
8.351537665399200850e-06, 2.497998081695024168e-09
4.175768832699322598e-06, 1.421761515899759804e-09
2.087884416349661299e-06, 1.047863420814323613e-09
1.043942208174830650e-06, 9.239898180396814742e-10
5.219711040871377097e-07, 9.077045997901643343e-10
2.609855520435688549e-07, 9.076605696216147098e-10
1.304927760215068918e-07, 9.076585490542476991e-10
6.524638801075344589e-08, 9.076585705248951978e-10
3.262319400509916746e-08, 9.076585107309957689e-10
1.435420536211040638e-08, 9.076584601124300909e-10
7.177102681055203191e-09, 9.076584515075957775e-10
3.588551340527601596e-09, 9.076583883874224700e-10
1.794275670263800798e-09, 9.076584004141873791e-10
8.971378351319003989e-10, 9.076581719810934957e-10
